"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","avg_wrk_hr"
"1140",1140,54,"No","Travel_Rarely","Research & Development",14,3,"Other",1,"Male",3,"Research Scientist","Married",66740,3,"Y",17,8,1,9,2,4,2,3,3,3,1,3,2,7.9
"1141",1141,33,"No","Travel_Frequently","Research & Development",2,4,"Medical",1,"Female",4,"Sales Executive","Divorced",168800,1,"Y",14,8,3,9,2,9,2,8,3,3,4,3,3,7.9
"1142",1142,43,"No","Travel_Rarely","Research & Development",3,3,"Medical",1,"Male",1,"Research Scientist","Married",90940,1,"Y",12,8,1,10,0,10,0,9,3,3,1,3,3,7.48
"1143",1143,38,"No","Travel_Frequently","Research & Development",2,5,"Medical",1,"Female",4,"Sales Executive","Married",84460,0,"Y",14,8,0,7,3,6,1,2,2,3,4,2,3,7.96
"1144",1144,55,"No","Travel_Rarely","Sales",9,3,"Marketing",1,"Male",2,"Laboratory Technician","Married",119160,4,"Y",15,8,1,35,3,10,1,4,2,3,3,2,3,8.19
"1145",1145,31,"No","Travel_Rarely","Sales",6,3,"Other",1,"Male",1,"Manufacturing Director","Divorced",45340,1,"Y",13,8,0,1,2,1,0,0,3,3,4,4,3,10.8
"1146",1146,39,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",1,"Male",2,"Sales Executive","Single",98520,0,"Y",12,8,1,21,5,20,11,10,2,3,2,1,3,6.09
"1147",1147,42,"No","Non-Travel","Research & Development",10,4,"Life Sciences",1,"Female",2,"Research Scientist","Single",61510,1,"Y",13,8,1,20,3,20,3,7,3,3,4,3,3,6.59
"1148",1148,31,"No","Non-Travel","Research & Development",14,2,"Life Sciences",1,"Male",2,"Healthcare Representative","Married",23020,4,"Y",14,8,0,13,3,11,4,8,3,3,3,3,4,6.1
"1149",1149,54,"No","Travel_Rarely","Research & Development",1,3,"Medical",1,"Female",2,"Human Resources","Single",23620,6,"Y",13,8,1,9,2,5,1,4,4,3,3,1,3,10.51
"1150",1150,24,"No","Travel_Rarely","Research & Development",5,4,"Other",1,"Male",1,"Manufacturing Director","Single",178610,1,"Y",11,8,2,4,5,4,1,2,1,3,2,3,2,6.88
"1151",1151,23,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",1,"Male",2,"Research Scientist","Single",191870,1,"Y",11,8,1,5,2,5,1,4,3,3,4,4,4,6.99
"1152",1152,40,"No","Travel_Frequently","Research & Development",21,3,"Medical",1,"Female",3,"Research Scientist","Married",197170,1,"Y",21,8,0,10,1,10,9,4,2,4,4,3,4,7.81
"1153",1153,40,"No","Travel_Rarely","Research & Development",8,1,"Medical",1,"Female",5,"Research Scientist","Married",35440,3,"Y",18,8,3,15,3,11,5,10,2,3,2,2,3,6.16
"1154",1154,25,"No","Travel_Rarely","Sales",20,5,"Medical",1,"Female",2,"Laboratory Technician","Married",85000,4,"Y",12,8,0,6,2,2,1,2,3,3,3,2,3,6.21
"1155",1155,30,"No","Travel_Rarely","Human Resources",20,4,"Life Sciences",1,"Male",2,"Research Scientist","Married",46610,1,"Y",11,8,0,12,3,12,1,7,2,3,4,2,2,6.08
"1156",1156,25,"No","Travel_Rarely","Research & Development",7,2,"Medical",1,"Male",5,"Sales Executive","Divorced",41030,6,"Y",15,8,1,7,2,2,0,2,3,3,4,3,2,10.19
"1157",1157,47,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",1,"Male",2,"Sales Executive","Single",42490,2,"Y",13,8,1,25,2,17,12,11,2,3,1,3,3,7.78
"1158",1158,33,"No","Non-Travel","Research & Development",1,3,"Life Sciences",1,"Male",2,"Research Scientist","Divorced",140260,1,"Y",12,8,0,1,4,1,0,0,3,3,2,3,2,6.17
"1159",1159,38,"No","Travel_Rarely","Research & Development",19,3,"Life Sciences",1,"Female",2,"Sales Executive","Married",68930,0,"Y",17,8,0,16,3,15,5,8,3,3,4,2,3,7.9
"1160",1160,31,"No","Travel_Rarely","Research & Development",10,4,"Medical",1,"Female",3,"Sales Executive","Married",61250,0,"Y",13,8,1,3,3,2,1,2,3,3,1,3,3,7.18
"1161",1161,38,"No","Travel_Frequently","Research & Development",1,4,"Other",1,"Male",2,"Research Scientist","Married",36690,2,"Y",19,8,0,10,2,8,7,7,3,3,1,3,3,6.51
"1162",1162,42,"No","Travel_Rarely","Research & Development",6,3,"Medical",1,"Male",2,"Laboratory Technician","Divorced",100080,6,"Y",19,8,1,9,3,4,1,2,1,3,4,1,2,9.77
"1163",1163,41,"No","Travel_Rarely","Sales",2,2,"Medical",1,"Male",1,"Healthcare Representative","Married",23870,3,"Y",17,8,1,12,1,5,1,0,1,3,4,4,3,7.7
"1164",1164,47,"No","Non-Travel","Research & Development",21,2,"Medical",1,"Male",1,"Sales Executive","Married",46390,0,"Y",11,8,1,14,2,13,5,12,2,3,3,2,1,7.23
"1165",1165,35,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Married",78980,7,"Y",15,8,0,5,2,2,2,2,2,3,4,3,3,10.4
"1166",1166,22,"No","Travel_Rarely","Human Resources",12,1,"Human Resources",1,"Male",2,"Sales Executive","Single",25340,0,"Y",11,8,0,4,1,3,1,2,3,3,4,3,4,6.4
"1167",1167,35,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Female",2,"Sales Executive","Single",131420,1,"Y",25,8,2,10,4,10,0,8,3,4,2,3,3,8.01
"1168",1168,33,"No","Travel_Rarely","Sales",3,4,"Medical",1,"Male",3,"Healthcare Representative","Married",16110,0,"Y",14,8,0,10,2,9,8,1,2,3,2,4,3,9.1
"1169",1169,32,"No","Travel_Rarely","Research & Development",3,2,"Technical Degree",1,"Male",3,"Manufacturing Director","Single",53630,1,"Y",13,8,0,6,4,6,4,1,3,3,3,2,3,6.99
"1170",1170,40,"No","Travel_Rarely","Research & Development",1,4,"Medical",1,"Male",2,"Research Director","Married",50710,8,"Y",17,8,1,8,3,1,0,0,2,3,1,4,2,6.16
"1171",1171,32,"No","Travel_Rarely","Research & Development",1,2,"Medical",1,"Male",3,"Sales Executive","Married",136950,0,"Y",13,8,0,3,3,2,2,2,3,3,2,2,3,6.01
"1172",1172,39,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences",1,"Male",1,"Sales Executive","Single",134020,7,"Y",14,8,1,18,1,7,1,7,3,3,1,4,3,8.02
"1173",1173,38,"No","Travel_Rarely","Sales",20,4,"Medical",1,"Female",2,"Research Director","Married",20290,3,"Y",11,8,1,20,3,18,1,11,2,3,2,3,3,8
"1174",1174,32,"No","Travel_Rarely","Research & Development",18,3,"Life Sciences",1,"Male",2,"Manager","Married",63770,1,"Y",12,8,2,14,3,14,5,7,3,3,3,4,3,7.9
"1175",1175,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",4,"Sales Executive","Married",54290,1,"Y",17,8,1,16,3,16,6,8,3,3,3,4,3,9.39
"1176",1176,25,"No","Travel_Rarely","Research & Development",2,4,"Medical",1,"Female",2,"Manufacturing Director","Divorced",27850,0,"Y",21,8,0,6,2,5,0,4,3,4,1,3,2,7.97
"1177",1177,52,"No","Non-Travel","Research & Development",2,4,"Other",1,"Male",1,"Manager","Divorced",46140,2,"Y",16,8,1,16,3,9,0,0,3,3,1,4,2,6.8
"1178",1178,44,"No","Travel_Rarely","Research & Development",8,1,"Life Sciences",1,"Female",1,"Sales Representative","Single",26100,6,"Y",15,8,0,6,2,4,1,2,3,3,2,4,3,10.81
"1179",1179,21,"No","Travel_Rarely","Sales",10,5,"Medical",1,"Male",3,"Research Scientist","Single",66870,1,"Y",19,8,3,2,0,2,1,2,3,3,3,1,3,8.16
"1180",1180,39,"No","Non-Travel","Research & Development",3,4,"Life Sciences",1,"Female",2,"Research Director","Single",47240,2,"Y",12,8,1,21,4,6,1,3,4,3,4,4,2,6.31
"1181",1181,23,"Yes","Travel_Frequently","Research & Development",2,4,"Life Sciences",1,"Female",2,"Manufacturing Director","Married",61790,1,"Y",11,8,0,1,3,1,1,0,3,3,4,1,2,8.03
"1182",1182,36,"No","Travel_Rarely","Research & Development",24,3,"Life Sciences",1,"Female",2,"Laboratory Technician","Married",61200,0,"Y",19,8,0,10,2,9,3,4,3,3,1,4,3,7.79
"1183",1183,36,"No","Travel_Frequently","Research & Development",16,1,"Medical",1,"Male",2,"Sales Executive","Divorced",105960,7,"Y",15,8,0,18,3,4,0,2,2,3,4,2,3,7.84
"1184",1184,56,"No","Non-Travel","Research & Development",8,1,"Life Sciences",1,"Male",1,"Sales Executive","Divorced",54670,1,"Y",20,8,0,13,6,13,1,9,2,4,3,3,2,6.59
"1185",1185,29,"Yes","Travel_Rarely","Research & Development",9,4,"Medical",1,"Male",2,"Sales Representative","Married",29960,9,"Y",25,8,0,4,4,2,2,2,3,4,1,4,4,10.9
"1186",1186,42,"No","Travel_Rarely","Research & Development",17,1,"Life Sciences",1,"Male",3,"Research Scientist","Married",99980,5,"Y",24,8,2,24,3,22,4,14,2,4,1,3,2,7.4
"1187",1187,56,"Yes","Travel_Rarely","Sales",10,4,"Other",1,"Male",2,"Sales Executive","Married",40780,8,"Y",24,8,1,14,3,10,9,8,3,4,4,3,1,6.82
"1188",1188,41,"No","Travel_Rarely","Research & Development",13,4,"Life Sciences",1,"Female",1,"Healthcare Representative","Married",109200,0,"Y",15,8,1,21,3,20,0,10,4,3,1,2,3,7.8
"1189",1189,34,"No","Travel_Rarely","Sales",1,3,"Medical",1,"Female",1,"Laboratory Technician","Married",62320,1,"Y",13,8,1,8,3,8,1,7,3,3,4,3,3,7.38
"1190",1190,36,"No","Non-Travel","Sales",1,1,"Medical",1,"Female",1,"Human Resources","Divorced",132470,1,"Y",14,8,0,15,3,15,11,11,3,3,4,4,2,7.68
"1191",1191,41,"No","Travel_Rarely","Research & Development",1,5,"Medical",1,"Male",1,"Healthcare Representative","Divorced",40810,2,"Y",13,8,0,14,3,5,0,4,3,3,3,2,3,7.09
"1192",1192,32,"No","Travel_Rarely","Sales",9,4,"Life Sciences",1,"Female",2,"Research Scientist","Single",57690,1,"Y",11,8,0,4,3,4,1,2,3,3,4,1,3,6.73
"1193",1193,35,"No","Travel_Rarely","Research & Development",16,3,"Medical",1,"Female",2,"Healthcare Representative","Single",23940,1,"Y",16,8,1,9,3,9,1,7,3,3,3,4,3,10.51
"1194",1194,38,"No","Travel_Rarely","Research & Development",23,3,"Medical",1,"Male",3,"Sales Representative","Married",39040,1,"Y",22,8,0,10,3,10,1,9,2,4,1,4,3,6.91
"1195",1195,50,"Yes","Travel_Frequently","Sales",4,2,"Life Sciences",1,"Female",2,"Laboratory Technician","Divorced",167990,7,"Y",14,8,1,12,2,6,0,1,2,3,2,3,3,7.21
"1197",1197,45,"No","Travel_Rarely","Sales",24,3,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",36290,8,"Y",16,8,1,8,2,5,0,1,4,3,4,3,3,6.08
"1199",1199,35,"No","Travel_Frequently","Sales",7,2,"Life Sciences",1,"Male",2,"Manufacturing Director","Married",32290,1,"Y",25,8,0,10,2,10,0,2,2,4,3,3,4,8.43
"1200",1200,40,"No","Travel_Rarely","Research & Development",17,4,"Life Sciences",1,"Male",1,"Manager","Married",35780,2,"Y",14,8,1,20,2,5,0,2,3,3,3,3,3,7.48
"1201",1201,35,"No","Travel_Rarely","Human Resources",14,1,"Life Sciences",1,"Male",2,"Research Scientist","Married",79880,1,"Y",18,8,0,4,3,4,1,1,3,3,3,4,3,6.9
"1202",1202,29,"No","Travel_Rarely","Research & Development",1,3,"Medical",1,"Male",3,"Sales Executive","Married",42840,4,"Y",11,8,0,10,5,4,0,3,2,3,4,2,3,9.82
"1203",1203,29,"No","Travel_Rarely","Research & Development",5,3,"Medical",1,"Male",2,"Sales Representative","Single",75530,1,"Y",19,8,0,5,3,5,0,4,3,3,4,1,1,6.08
"1204",1204,50,"Yes","Travel_Rarely","Research & Development",17,3,"Medical",1,"Male",1,"Research Scientist","Divorced",173280,4,"Y",15,8,2,20,1,3,2,0,3,3,4,1,3,9.62
"1205",1205,39,"No","Travel_Rarely","Sales",25,3,"Medical",1,"Male",2,"Sales Executive","Married",197010,0,"Y",11,8,0,21,3,20,9,6,4,3,2,4,2,7.51
"1206",1206,31,"No","Non-Travel","Research & Development",8,4,"Life Sciences",1,"Female",4,"Sales Executive","Single",147320,0,"Y",12,8,0,10,3,9,1,7,3,3,2,1,3,7.31
"1207",1207,26,"No","Travel_Rarely","Research & Development",11,4,"Medical",1,"Male",2,"Manager","Single",92780,0,"Y",20,8,0,5,3,4,0,0,3,4,4,3,3,7.5
"1208",1208,36,"No","Travel_Frequently","Research & Development",5,1,"Technical Degree",1,"Male",1,"Sales Executive","Married",13590,4,"Y",12,8,0,17,2,5,0,3,3,3,3,4,3,7.69
"1209",1209,39,"No","Travel_Rarely","Research & Development",2,1,"Medical",1,"Female",1,"Research Scientist","Married",47790,4,"Y",14,8,2,9,3,7,1,7,3,3,4,1,3,6.05
"1210",1210,27,"No","Travel_Rarely","Research & Development",8,2,"Medical",1,"Male",1,"Laboratory Technician","Married",164220,1,"Y",20,8,1,6,3,6,0,3,3,4,2,2,3,9.29
"1211",1211,49,"No","Travel_Frequently","Research & Development",6,1,"Medical",1,"Male",3,"Healthcare Representative","Married",29960,2,"Y",18,8,1,17,2,9,0,8,2,3,4,2,2,6.4
"1212",1212,34,"No","Travel_Rarely","Sales",4,3,"Medical",1,"Female",1,"Sales Executive","Married",12610,2,"Y",14,8,1,6,6,4,1,2,3,3,2,3,4,6.46
"1213",1213,41,"Yes","Travel_Rarely","Research & Development",7,2,"Life Sciences",1,"Female",1,"Research Scientist","Single",20990,8,"Y",12,8,1,8,2,6,0,5,3,3,2,4,1,8.63
"1214",1214,49,"No","Travel_Frequently","Sales",1,4,"Life Sciences",1,"Female",2,"Manufacturing Director","Married",58100,1,"Y",21,8,1,10,2,10,1,7,3,4,3,2,3,6.71
"1215",1215,37,"Yes","Travel_Rarely","Research & Development",2,3,"Life Sciences",1,"Male",1,"Sales Executive","Single",56470,6,"Y",19,8,0,7,2,0,0,0,3,3,4,3,3,8.52
"1216",1216,33,"No","Travel_Frequently","Research & Development",10,2,"Medical",1,"Male",2,"Research Scientist","Married",34200,1,"Y",14,8,0,8,3,8,3,0,3,3,4,3,3,9.48
"1217",1217,27,"No","Travel_Rarely","Sales",5,4,"Medical",1,"Female",4,"Manufacturing Director","Married",44000,9,"Y",17,8,1,6,3,2,2,2,2,3,1,2,3,6.4
"1218",1218,32,"No","Travel_Frequently","Research & Development",9,2,"Medical",1,"Female",2,"Research Scientist","Single",35000,0,"Y",16,8,1,8,2,7,3,6,2,3,4,4,2,7.28
"1219",1219,59,"No","Travel_Rarely","Sales",2,2,"Marketing",1,"Female",5,"Sales Representative","Married",20660,4,"Y",12,8,1,12,3,1,0,0,3,3,3,1,2,10.04
"1220",1220,30,"No","Travel_Rarely","Research & Development",11,4,"Medical",1,"Male",2,"Laboratory Technician","Divorced",171690,1,"Y",17,8,2,1,2,1,0,0,3,3,4,3,3,6.39
"1221",1221,38,"No","Travel_Frequently","Sales",18,4,"Life Sciences",1,"Male",2,"Healthcare Representative","Single",41620,0,"Y",15,8,1,10,1,9,1,8,3,3,4,3,3,8
"1222",1222,36,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",1,"Male",1,"Sales Executive","Married",92040,6,"Y",23,8,1,17,2,7,7,7,3,4,3,3,2,7.83
"1223",1223,35,"No","Travel_Rarely","Human Resources",3,4,"Human Resources",1,"Male",2,"Manager","Married",32940,0,"Y",11,8,0,6,2,5,0,3,3,3,1,2,3,7.5
"1224",1224,29,"No","Travel_Rarely","Sales",29,4,"Life Sciences",1,"Male",2,"Laboratory Technician","Single",21270,0,"Y",11,8,1,10,3,9,0,8,2,3,4,3,3,10.72
"1226",1226,34,"No","Travel_Rarely","Research & Development",28,3,"Technical Degree",1,"Male",1,"Laboratory Technician","Divorced",107930,0,"Y",11,8,3,3,1,2,1,2,2,3,2,4,3,7.61
"1227",1227,28,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences",1,"Male",5,"Research Director","Single",100960,5,"Y",13,8,0,6,2,4,0,3,3,3,3,3,3,10.48
"1228",1228,29,"No","Travel_Rarely","Research & Development",16,2,"Life Sciences",1,"Female",4,"Laboratory Technician","Divorced",36460,1,"Y",14,8,0,10,3,10,8,8,4,3,2,1,3,7.97
"1229",1229,32,"No","Travel_Rarely","Human Resources",22,3,"Human Resources",1,"Female",2,"Research Director","Divorced",74460,0,"Y",19,8,0,7,3,6,0,5,3,3,1,2,2,10.7
"1230",1230,22,"No","Non-Travel","Research & Development",8,3,"Life Sciences",1,"Female",3,"Sales Executive","Divorced",108510,1,"Y",16,8,1,1,2,1,0,0,4,3,4,4,2,10
"1231",1231,53,"No","Travel_Rarely","Research & Development",11,3,"Medical",1,"Male",2,"Manager","Married",21090,2,"Y",13,8,0,31,3,25,3,7,3,3,1,4,3,8.02
"1232",1232,38,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences",1,"Female",1,"Manufacturing Director","Single",37220,5,"Y",14,8,0,6,0,3,1,2,3,3,4,4,3,9.69
"1233",1233,24,"No","Non-Travel","Research & Development",1,5,"Life Sciences",1,"Male",3,"Research Scientist","Divorced",93800,0,"Y",16,8,0,5,2,4,1,3,2,3,1,3,2,6.91
"1234",1234,36,"Yes","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",1,"Research Director","Single",54860,7,"Y",12,8,1,10,2,5,0,3,3,3,3,1,3,6.48
"1235",1235,34,"No","Travel_Rarely","Sales",24,3,"Marketing",1,"Male",4,"Research Scientist","Single",27420,0,"Y",11,8,1,13,2,12,2,11,3,3,1,2,3,6.09
"1236",1236,21,"No","Travel_Rarely","Sales",2,3,"Life Sciences",1,"Male",2,"Manufacturing Director","Single",137570,1,"Y",12,8,1,0,3,0,0,0,3,3,3,4,3,6
"1237",1237,34,"Yes","Travel_Rarely","Sales",15,2,"Marketing",1,"Female",2,"Research Scientist","Single",84630,2,"Y",13,8,0,8,2,4,1,3,1,3,2,1,3,7.81
"1238",1238,53,"No","Travel_Rarely","Sales",2,1,"Life Sciences",1,"Male",5,"Human Resources","Divorced",31620,4,"Y",15,8,0,26,4,14,4,8,3,3,3,3,2,7.48
"1239",1239,32,"Yes","Travel_Frequently","Research & Development",10,3,"Medical",1,"Female",2,"Manufacturing Director","Single",165980,1,"Y",13,8,0,10,2,10,6,7,3,3,2,1,3,9.5
"1240",1240,42,"No","Travel_Rarely","Research & Development",10,3,"Technical Degree",1,"Male",2,"Laboratory Technician","Married",66510,0,"Y",20,8,0,10,5,9,4,2,2,4,3,2,3,6.89
"1241",1241,44,"No","Travel_Rarely","Research & Development",3,1,"Life Sciences",1,"Female",1,"Manufacturing Director","Married",23450,3,"Y",15,8,2,24,0,22,5,17,3,3,1,4,3,7.1
"1242",1242,46,"No","Travel_Rarely","Sales",2,3,"Life Sciences",1,"Female",1,"Research Scientist","Single",34200,3,"Y",13,8,2,22,3,2,2,1,1,3,2,1,2,8.01
"1243",1243,33,"No","Travel_Rarely","Sales",3,3,"Medical",1,"Male",1,"Manufacturing Director","Single",43730,4,"Y",14,8,0,7,3,1,0,0,3,3,3,4,3,6.53
"1244",1244,44,"No","Travel_Rarely","Human Resources",26,3,"Life Sciences",1,"Male",5,"Healthcare Representative","Married",47590,2,"Y",21,8,0,9,2,4,1,3,3,4,4,4,4,8.53
"1245",1245,30,"No","Travel_Rarely","Research & Development",1,4,"Technical Degree",1,"Female",1,"Research Scientist","Single",53010,1,"Y",16,8,1,10,3,10,1,8,3,3,4,3,3,6.12
"1246",1246,39,"Yes","Travel_Rarely","Human Resources",1,4,"Medical",1,"Male",1,"Sales Executive","Married",36730,3,"Y",14,8,1,19,3,1,0,0,3,3,4,4,4,6.52
"1247",1247,24,"Yes","Travel_Rarely","Human Resources",2,5,"Human Resources",1,"Male",3,"Sales Executive","Married",47680,2,"Y",11,8,1,6,2,2,2,0,2,3,2,4,2,9.68
"1248",1248,43,"No","Travel_Rarely","Sales",9,5,"Technical Degree",1,"Female",1,"Research Director","Divorced",12740,1,"Y",19,8,0,6,3,5,1,4,2,3,4,3,2,6.49
"1249",1249,50,"Yes","Travel_Rarely","Research & Development",12,4,"Medical",1,"Male",1,"Research Director","Married",49000,1,"Y",11,8,0,3,3,3,0,2,2,3,1,3,3,8.92
"1250",1250,35,"No","Travel_Rarely","Sales",2,4,"Marketing",1,"Male",3,"Manufacturing Director","Married",104660,1,"Y",13,8,0,2,1,2,2,2,3,3,4,4,3,7.09
"1251",1251,36,"No","Travel_Rarely","Research & Development",25,1,"Life Sciences",1,"Female",4,"Sales Executive","Married",170070,9,"Y",12,8,1,6,2,1,0,0,2,3,2,1,4,9.08
"1252",1252,33,"No","Travel_Frequently","Sales",9,2,"Marketing",1,"Male",4,"Human Resources","Married",29090,2,"Y",11,8,0,10,2,5,1,3,2,3,3,1,3,6.56
"1253",1253,35,"No","Travel_Rarely","Research & Development",10,1,"Medical",1,"Male",1,"Research Scientist","Divorced",57650,1,"Y",14,8,1,1,2,1,0,0,3,3,3,4,3,6.19
"1254",1254,27,"No","Travel_Rarely","Sales",8,2,"Marketing",1,"Female",3,"Research Scientist","Divorced",45990,1,"Y",15,8,1,1,3,1,0,0,2,3,4,1,3,7.62
"1255",1255,26,"Yes","Travel_Rarely","Sales",4,3,"Marketing",1,"Male",2,"Manager","Single",24040,1,"Y",12,8,0,1,6,1,0,1,3,3,1,3,2,7.69
"1256",1256,27,"No","Travel_Frequently","Sales",24,3,"Life Sciences",1,"Male",4,"Healthcare Representative","Single",31720,1,"Y",20,8,1,9,1,9,1,7,3,4,4,3,3,6.84
"1257",1257,30,"No","Travel_Frequently","Research & Development",1,4,"Medical",1,"Male",1,"Research Scientist","Single",20330,1,"Y",14,8,1,12,3,12,3,7,1,3,3,4,3,6.82
"1258",1258,41,"Yes","Travel_Rarely","Sales",20,4,"Marketing",1,"Male",2,"Sales Executive","Married",102090,1,"Y",13,8,1,23,2,22,15,8,3,3,2,3,3,5.96
"1259",1259,34,"No","Non-Travel","Research & Development",7,2,"Technical Degree",1,"Female",1,"Research Scientist","Single",86200,0,"Y",13,8,1,10,2,9,8,7,2,3,2,3,3,7.82
"1260",1260,37,"No","Travel_Rarely","Research & Development",17,3,"Life Sciences",1,"Female",3,"Sales Executive","Married",20640,4,"Y",16,8,0,8,3,1,0,0,2,3,2,2,3,6.1
"1262",1262,35,"No","Travel_Rarely","Research & Development",8,4,"Medical",1,"Female",3,"Research Scientist","Married",38380,1,"Y",16,8,1,1,2,1,0,1,3,3,4,4,3,6.91
"1263",1263,48,"Yes","Travel_Rarely","Research & Development",2,4,"Technical Degree",1,"Female",1,"Sales Executive","Single",45910,9,"Y",16,8,0,23,6,1,0,0,1,3,1,3,3,9.3
"1264",1264,28,"Yes","Travel_Rarely","Research & Development",10,1,"Medical",1,"Male",1,"Sales Executive","Single",25610,1,"Y",22,8,1,2,3,2,2,2,3,4,3,3,2,10.68
"1265",1265,44,"No","Travel_Rarely","Research & Development",1,1,"Medical",1,"Female",3,"Research Scientist","Divorced",15630,5,"Y",12,8,2,9,3,4,1,3,3,3,2,1,2,9.39
"1266",1266,35,"No","Non-Travel","Research & Development",5,4,"Technical Degree",1,"Female",3,"Manufacturing Director","Married",48980,2,"Y",15,8,2,10,2,4,2,3,3,3,3,1,3,9.51
"1267",1267,26,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences",1,"Female",3,"Sales Executive","Married",47890,7,"Y",20,8,1,5,2,2,0,0,3,4,3,4,2,10.2
"1268",1268,33,"No","Travel_Frequently","Sales",29,4,"Life Sciences",1,"Female",1,"Human Resources","Single",31800,1,"Y",14,8,1,15,2,15,8,12,3,3,1,4,3,8.21
"1269",1269,35,"No","Travel_Frequently","Research & Development",15,3,"Medical",1,"Male",3,"Manufacturing Director","Married",65490,1,"Y",20,8,0,9,3,9,1,8,3,4,2,1,2,6.47
"1270",1270,35,"No","Travel_Rarely","Human Resources",3,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Married",63880,3,"Y",13,8,0,4,6,2,2,2,2,3,3,1,3,8.79
"1271",1271,31,"No","Travel_Rarely","Sales",10,2,"Life Sciences",1,"Female",2,"Research Scientist","Divorced",112440,3,"Y",12,8,1,10,3,7,1,7,3,3,4,4,2,6.1
"1272",1272,37,"No","Travel_Rarely","Sales",4,3,"Marketing",1,"Male",4,"Human Resources","Divorced",160320,1,"Y",13,8,0,7,2,7,0,7,3,3,1,3,4,7.42
"1273",1273,32,"No","Travel_Rarely","Research & Development",21,3,"Other",1,"Male",2,"Sales Executive","Married",23620,1,"Y",11,8,0,9,2,9,7,8,3,3,1,4,3,8.11
"1274",1274,38,"No","Travel_Frequently","Research & Development",25,3,"Medical",1,"Male",2,"Manufacturing Director","Single",163280,1,"Y",17,8,3,10,2,10,9,9,3,3,4,4,3,6.24
"1275",1275,50,"No","Travel_Rarely","Sales",2,4,"Marketing",1,"Female",4,"Research Scientist","Divorced",83760,5,"Y",14,8,3,29,2,27,13,8,3,3,2,3,2,9.53
"1276",1276,59,"No","Travel_Rarely","Research & Development",1,3,"Technical Degree",1,"Male",1,"Laboratory Technician","Single",166060,7,"Y",11,8,0,28,6,21,7,9,3,3,1,1,2,6.92
"1277",1277,36,"No","Travel_Rarely","Sales",1,2,"Marketing",1,"Female",2,"Sales Executive","Divorced",86060,1,"Y",14,8,2,17,3,17,12,8,3,3,3,3,3,6
"1278",1278,55,"No","Travel_Rarely","Research & Development",7,3,"Medical",1,"Male",3,"Research Scientist","Divorced",22720,2,"Y",17,8,1,21,2,5,0,2,3,3,4,3,3,8.11
"1279",1279,36,"No","Travel_Frequently","Research & Development",3,3,"Life Sciences",1,"Female",2,"Laboratory Technician","Single",20180,1,"Y",13,8,0,6,5,6,0,3,3,3,2,2,3,7.22
"1280",1280,45,"No","Travel_Rarely","Research & Development",1,2,"Medical",1,"Female",1,"Sales Executive","Divorced",70830,2,"Y",12,8,1,25,5,1,0,0,3,3,2,1,3,6.81
"1281",1281,35,"No","Travel_Frequently","Human Resources",9,3,"Other",1,"Female",2,"Sales Representative","Married",40840,4,"Y",13,8,1,5,3,3,1,2,3,3,2,1,2,6.1
"1282",1282,36,"Yes","Travel_Rarely","Sales",7,2,"Life Sciences",1,"Male",4,"Laboratory Technician","Married",144110,0,"Y",18,8,3,2,2,1,0,0,4,3,4,3,2,8.89
"1283",1283,59,"No","Travel_Frequently","Research & Development",10,4,"Life Sciences",1,"Male",3,"Research Scientist","Single",23080,7,"Y",19,8,1,20,4,4,1,3,2,3,1,3,2,6.79
"1284",1284,29,"No","Travel_Rarely","Research & Development",28,4,"Life Sciences",1,"Female",1,"Sales Representative","Married",48410,0,"Y",11,8,0,6,3,5,0,4,3,3,3,2,3,7.83
"1285",1285,31,"No","Travel_Rarely","Research & Development",3,2,"Medical",1,"Female",3,"Sales Executive","Single",42850,1,"Y",21,8,1,1,2,1,1,0,1,4,3,2,3,6.3
"1286",1286,32,"No","Travel_Rarely","Sales",3,4,"Life Sciences",1,"Male",2,"Manufacturing Director","Married",97150,1,"Y",15,8,1,10,1,10,0,9,2,3,2,2,3,7.52
